,,,,,,,,,,,,,,,,,,,,
자전거대여소명,자전거대여소구분,소재지도로명주소,소재지지번주소,위도,경도,운영시작시각,운영종료시각,휴무일,요금구분,자전거이용요금,자전거보유대수,거치대수,공기주입기비치여부,공기주입기유형,수리대설치여부,관리기관전화번호,관리기관명,데이터기준일자,제공기관코드,제공기관명
화정2동주민센터앞,유인대여소,광주광역시 서구 화운로 94,광주광역시 서구 화정동 1611,35.1572683,126.8763211,09:00,18:00,매주 토/일요일 및 공휴일,무료,무료,4,10,Y,,N,062-350-4402,광주광역시 서구,2020-09-25,3600000,광주광역시 서구
화정3동주민센터앞,유인대여소,광주광역시 서구 월드컵4강로68번길 17,광주광역시 서구 화정동 891,35.1433475,126.876456,09:00,18:00,매주 토/일요일 및 공휴일,무료,무료,4,10,Y,,N,062-350-4422,광주광역시 서구,2020-09-25,3600000,광주광역시 서구
화정4동주민센터앞,유인대여소,광주광역시 서구 염화로83번길 3,광주광역시 서구 화정동 919-1,35.141804,126.873788,09:00,18:00,매주 토/일요일 및 공휴일,무료,무료,2,7,Y,,N,062-350-4443,광주광역시 서구,2020-09-25,3600000,광주광역시 서구
서창동주민센터앞,유인대여소,광주광역시 서구 눌재로 412,광주광역시 서구 세하동 553-1,35.1145216,126.8302885,09:00,18:00,매주 토/일요일 및 공휴일,무료,무료,8,7,Y,,N,062-350-4462,광주광역시 서구,2020-09-25,3600000,광주광역시 서구
금호1동주민센터앞,유인대여소,광주광역시 서구 운천로31번길 17,광주광역시 서구 금호동 747-8,35.1351612,126.8571889,09:00,18:00,매주 토/일요일 및 공휴일,무료,무료,3,6,Y,,N,062-350-4482,광주광역시 서구,2020-09-25,3600000,광주광역시 서구
금호2동주민센터앞,유인대여소,광주광역시 서구 풍금로 135,광주광역시 서구 금호동 811-1,35.128865,126.8571913,09:00,18:00,매주 토/일요일 및 공휴일,무료,무료,6,0,Y,,N,062-350-4502,광주광역시 서구,2020-09-25,3600000,광주광역시 서구
풍암동주민센터앞,유인대여소,광주광역시 서구 풍암1로 27,광주광역시 서구 풍암동 1125,35.124785,126.878693,09:00,18:00,매주 토/일요일 및 공휴일,무료,무료,6,10,Y,,N,062-350-4522,광주광역시 서구,2020-09-25,3600000,광주광역시 서구
가온803동남측,무인대여소,,세종특별자치시 다정동 17,36.494938,127.249746,00:00,23:59,없음,유료,1000원,20,,N,,N,1899-9161,세종특별자치시청,2019-08-13,5690000,세종특별자치시
동천동주민센터앞,유인대여소,광주광역시 서구 유림로98번길 8,광주광역시 서구 동천동 611,35.1708669,126.864704,09:00,18:00,매주 토/일요일 및 공휴일,무료,무료,6,10,Y,,N,062-350-4601,광주광역시 서구,2020-09-25,3600000,광주광역시 서구
김해시 자전거교육장,유인대여소,경상남도 김해시 가야의길 80,경상남도 김해시 봉황동 458-5,35.233051,128.873343,10:00,17:00,매주 월요일 휴무,무료,,39,30,Y,태양광식,N,055-330-4668,경상남도 김해시청,2020-09-30,5350000,경상남도 김해시
호포마을,무인대여소,,경상남도 양산시 동면 가산리 1093-2,35.284041,129.014378,07:00,22:00,없음,유료,1000,10,10,N,,N,055-392-3273,양산시청 도로관리과 자전거팀,2020-09-28,5380000,경상남도 양산시
물금역,무인대여소,경상남도 양산시 물금읍 황산로 347,경상남도 양산시 물금읍 물금리 372-3,35.3066551139,128.9862569184,07:00,22:00,없음,유료,1000,10,10,Y,수동식,N,055-392-3273,양산시청 도로관리과 자전거팀,2020-09-28,5380000,경상남도 양산시
원동역,무인대여소,경상남도 양산시 원동면 원동마을길 13,경상남도 양산시 원동면 원리 1154-1,35.3617204214,128.9210984574,07:00,22:00,없음,유료,1000,10,10,N,,N,055-392-3273,양산시청 도로관리과 자전거팀,2020-09-28,5380000,경상남도 양산시
양산역,무인대여소,경상남도 양산시 강변로 441(중부동),경상남도 양산시 중부동 475-1,35.3387292834,129.0264413437,07:00,22:00,없음,유료,1000,10,10,Y,수동식,N,055-392-3273,양산시청 도로관리과 자전거팀,2020-09-28,5380000,경상남도 양산시
남양산역,무인대여소,경상남도 양산시 동면 메기로 380,경상남도 양산시물금읍 범어리 2826,35.3254539553,129.0194213835,07:00,22:00,없음,유료,1000,10,10,Y,수동식,N,055-392-3273,양산시청 도로관리과 자전거팀,2020-09-28,5380000,경상남도 양산시
부산대양산캠퍼스역,무인대여소,경상남도 양산시 물금읍 메기로 270,경상남도 양산시 물금읍 범어리 2804,35.3168847259,129.0139409501,07:00,22:00,없음,유료,1000,10,10,Y,수동식,N,055-392-3273,양산시청 도로관리과 자전거팀,2020-09-28,5380000,경상남도 양산시
증산역,무인대여소,경상남도 양산시 물금읍 메기로 168,경상남도 양산시 물금읍 증산리 1818,35.3082462596,129.0102778791,07:00,22:00,없음,유료,1000,10,10,N,,N,055-392-3273,양산시청 도로관리과 자전거팀,2020-09-28,5380000,경상남도 양산시
경민아파트 옆,무인대여소,경상남도 양산시 물금읍 황산로 707,경상남도 양산시 물금읍 범어리 682-3,35.3331670031,129.0091956835,07:00,22:00,없음,유료,1000,20,20,N,,N,055-392-3273,양산시청 도로관리과 자전거팀,2020-09-28,5380000,경상남도 양산시
우남아파트 옆,무인대여소,,경상남도 양산시 물금읍 범어리 2676-9,35.332183,,07:00,22:00,없음,유료,1000,15,15,N,,N,055-392-3273,양산시청 도로관리과 자전거팀,2020-09-28,5380000,경상남도 양산시
쌍용아파트 옆,무인대여소,경상남도 양산시 양주로 97,경상남도 양산시 남부동 601-1,35.3340334999,129.0315297887,07:00,22:00,없음,유료,1000,20,20,N,,N,055-392-3273,양산시청 도로관리과 자전거팀,2020-09-28,5380000,경상남도 양산시
인천대공원 내,유인대여소,인천광역시 남동구 무네미로 238(장수동),인천광역시 남동구 장수동 산78,37.45859383,126.7519671,10:00,18:00,"우천시, 동절기(12월~2월 17:00까지)",유료,"1인용:2000원(60분),  2인용:5000원(60분), 다인용:10000원(60분)",190,190,Y,기계식,N,032-465-1526,인천시설공단,2020-09-25,B553906,인천시설공단
아라뱃길자전거대여소,유인대여소,경기도 김포시 고촌읍 아라육로270번길 74,,37.59765925,126.7869752,10:00,18:00,연중무휴,유료,"1시간 3,000원 초과 10분당 500원",50,,N,,N,031-999-7857,㈜워터웨이플러스,2020-09-04,4090000,경기도 김포시
염산면사무소 내,유인대여소,전라남도 영광군 염산면 천년로1길 1-3,,35.2175552763,126.3722285356,09:00,18:00,주말,무료,,25,,N,,N,061-350-4955,전라남도 영광군청,2020-06-30,4970000,전라남도 영광군
초록길자전거센터,유인대여소,충청북도 제천시 성봉로 30,충청북도 제천시 청전동 398-1,37.1502963053,128.2054877244,10:00,19:00,매주월요일,무료,무료,38,38,Y,기계식,N,043-641-7509,제천시체육회,2020-09-24,4400000,충청북도 제천시
중구자전거문화센터,유인대여소,울산광역시 중구 외솔큰길 196,,35.567156,129.351424,09:00,18:00,연중무휴,유료,,118,,Y,,N,052-290-3820,울산광역시 중구청,2020-09-22,6310000,울산광역시
태화강대공원 대여소,유인대여소,울산광역시 중구 신기길77,,35.5497252,129.2958426,09:00,18:00,연중무휴,유료,,244,,Y,,N,052-290-3820,울산광역시 중구청,2020-09-22,6310000,울산광역시
태화강국가정원,유인대여소,울산광역시 중구 신기길 77,,35.5497221,129.2958364,09:00,17:00,연중무휴,유료,"남성, 여성, 주니어, 2인승, 어린이용 1,000원연인형, 4인승 2,000원",284,0,Y,기계식,N,052-290-7656,울산광역시중구도시관리공단,2020-09-22,6310000,울산광역시
자전거문화센터,유인대여소,울산광역시 중구 외솔큰길 196,,35.56714679,129.3514428,09:00,17:00,연중무휴,유료,"남성, 여성, 주니어, 2인승, 어린이용 1,000원연인형, 4인승 2,000원",156,0,Y,기계식,N,052-290-7656,울산광역시중구도시관리공단,2020-09-22,6310000,울산광역시
성남둔치,유인대여소,울산광역시 중구 성남동 216번지,,35.552714,129.319324,09:00,17:00,연중무휴,유료,"남성, 여성, 주니어, 2인승, 어린이용 1,000원연인형, 4인승 2,000원",35,0,Y,기계식,N,052-290-7656,울산광역시중구도시관리공단,2020-09-22,6310000,울산광역시
철원군청대여소,유인대여소,강원도 철원군 동송읍 태봉로,강원도 철원군 동송읍 장흥리 1825,38.111312,127.171902,10:00,18:00,연중무휴,무료,무료,17,20,Y,기계식,N,033-450-5352,철원군청,2020-09-21,4300000,강원도 철원군
담양군청,유인대여소,전라남도 담양군 담양읍 추성로 1371,전라남도 담양군 담양읍 객사리 99-1,35.32121077,126.9881755,09:00,18:00,연중무휴,무료,0,14,4,N,,N,061-380-2809,담양군,2020-09-16,4850000,전라남도 담양군
담양읍사무소,유인대여소,전라남도 담양군 담양읍 중앙로 83,전라남도 담양군 담양읍 담주리 87-1,35.3204622,126.981873,09:00,18:00,"토요일, 공휴릴",무료,0,9,1,N,,N,061-380-3704,담양읍사무소,2020-09-16,4850000,전라남도 담양군
창평면사무소,유인대여소,전라남도 담양군 창평면 돌담길 9,전라남도 담양군 창평면 창평리 82-1,35.23891373,127.0191338,09:00,18:00,"토요일, 공휴릴",무료,0,5,1,N,,N,061-380-3795,창평면사무소,2020-09-16,4850000,전라남도 담양군
강동구 자전거 종합서비스센터,유인대여소,서울특별시 강동구 동남로918,서울특별시 강동구 고덕동 302,37.55567021,127.1569356,09:00,18:00,"추석,설, 월요일",무료,무료,96,,y,기계식,N,02-3425-6262,강동구청,2020-09-11,3240000,서울특별시 강동구
영산강자전거길안내센터,유인대여소,광주광역시 서구 서창둑길 377,광주광역시 서구 벽진동 505-1,35.138646,126.828748,09:00,17:00,연중무휴,무료,무료,66,40,Y,기계식,N,062-603-5359,광주환경공단,2020-07-17,B552968,광주환경공단
오산천 자전거대여소,유인대여소,경기도 오산시 경기동로 15,경기도 오산시 오산동 49,37.157349,127.072413,09:00,18:00,매주 월요일,무료,무료,100,0,Y,기계식,N,031-8036-7704,경기도 오산시청,2020-09-22,4000000,경기도 오산시
맑음터공원 자전거대여소,유인대여소,경기도 오산시 오산천로 52,경기도 오산시 오산동 750-1,37.138192,127.064528,09:00,18:00,매주 월요일,무료,무료,164,0,Y,기계식,N,031-8036-7704,경기도 오산시청,2020-09-22,4000000,경기도 오산시
자전거종합서비스센터,유인대여소,서울특별시 금천구 가산디지털2로 151,서울특별시 금천구 가산동 459-18,37.4814663,126.877441,09:00,18:00,"법정공휴일,월요일 휴무",무료,무료,143,130,Y,기계식,Y,02-2627-1722,서울특별시 금천구청,2020-09-08,3170000,서울특별시 금천구
서초구(방배역) 무료자전거대여소,유인대여소,,서울특별시 서초구 방배동 984-5,37.48116061,126.9982634,08:00,19:00,공휴일,무료,무료,36,5,Y,기계식,Y,02-2155-7186,서울특별시_서초구,2020-07-02,3210000,서울특별시 서초구
서초구(방배역) 무료자전거대여소,유인대여소,,서울특별시 서초구 방배동 984-5,37.48116061,126.9982634,09:00,17:00,공휴일,무료,무료,36,5,Y,기계식,Y,02-2155-7186,서울특별시_서초구,2020-07-02,3210000,서울특별시 서초구
